微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",一组震撼图片,厉害了,中国高铁,2018年春运,大幕开启,中国各地的,子弹头列车,鳞次栉比,蓄势待发,送你回家,组图共9张,原图,",True,2018-02-04 11:54,新媒体聚合平台,311835,47096,68449
",你好,大学,又到,开学季,离开故乡,告别父母,步入憧憬已久的大学校园,你准备好了吗,大学四年,很长也很短,愿你不负时光,勇敢前行,与理想的未来撞个满怀,组图共9张,原图,",True,2018-09-03 07:00,微博 weibo.com,126527,223936,69114
",台湾花莲6,5级地震已致4人遇难,200余人受伤,据央视,6日深夜,台湾花莲发生6,5级强震,截至今天上午11时,地震已造成4人死亡,200余人受伤,仍有140多人失联,接受安置和救治的人员中包括大陆游客,愿平安,组图共9张,原图,",True,2018-02-07 12:03,新媒体聚合平台,9507,399809,4019
",转发致敬,我们的英雄,一路走好,警察,是和平年代流血最多的职业群体,我国平均每天就有一名警察牺牲,面对受伤甚至死亡,他们也会害怕,但困难危急之时,他们却义无反顾,不曾退缩犹豫,平安从来都不会从天而降,是他们默默为万家灯火负重前行,转发致敬,谢谢你们驱散黑暗,为正义照亮前方,组图共9张,原图,",True,2018-02-24 07:30,微博 weibo.com,358714,32094,13655
",你愿意为它们转吗,留住最后的穿山甲,小穿山甲,蜜宝,今年2岁了,它很小就失去了妈妈,在救助站里长大,希望更多的人能看到,蜜宝的故事,永远不要购买穿山甲制品,留住可爱又濒危的穿山甲,人民日报的秒拍视频,野生救援WildAid,",True,2017-12-18 14:32,新媒体聚合平台,262801,108963,31299
",转发微博,iPhone,X,液晶电视,kindle等大奖等你拿,过大年,转发本条微博,并关注,人民日报,你的两名好友,就有机会赢取iPhone,X,海信液晶电视,OPPO,R11s手机,Kindle,电子书等超多精美礼物,从除夕到初六,天天有惊喜,你会是那个幸运的人吗,速转试试手气,祝你中大奖,组图共9张,原图,",True,2018-02-15 07:30,微博 weibo.com,59873,215125,120899
",今夜,请为遇难同胞点起,据新华社,截至目前,甘肃定西6,6级地震已造成75人遇难,584人受伤,愿逝者安息,生者坚强,原图,",True,2013-07-22 18:43,人民日报微博,30283,309163,54539
",缅怀伟人,41年前的今天,毛主席逝世,从群众中来,到群众中去,世界是你们的,也是我们的,但是归根结底是你们的,没有调查就没有发言权,务必使同志们继续地保持谦虚,谨慎,不骄,不躁的作风,务必使同志们继续地保持艰苦奋斗的作风,41年前的今天,毛主席逝世,重温,缅怀,组图共9张,原图,",True,2017-09-09 09:01,新媒体聚合平台,304638,57920,29838
",全国两会,视频,新当选的国家主席,中央军委主席习近平宪法宣誓,人民日报的秒拍视频,",True,2018-03-17 11:01,微博云剪,299869,62668,29014
",如果你记得今天,请转发微博传递历史,86年前的今天,1931年9月18日,九一八,事变爆发,自此,中华民族开启长达14年的浴血奋战,大半个中国被践踏,3500多万同胞伤亡,一寸山河一寸血,曾经的苦难不能忘,曾经的牺牲不敢忘,牢记九一八,今天,转发传递,为同胞,为先辈,为抗争,组图共9张,原图,",True,2017-09-18 06:59,新媒体聚合平台,143605,224875,21434
